lei,name,domain,country
213800H31MDE114N9B91,MUNICH RE AUTOMATION SOLUTIONS GMBH,munich-airport.de,de
724500CJPMMIRL3ED230,RFS HOLDINGS B.V.,rfs.nsw.gov.au,nl
213800N7GZYWRCBZA689,LOW & BONAR TECHNICAL TEXTILES HOLDING B.V.,lowes.com,nl
213800YZALNPC2AKPN10,PROPERTY TRUST AGNADELLO S.R.L.,propertyshark.com,it
213800JNBLN4JSF5JH58,SNC BOIS COLOMBES CARAVELLE,sncf.com,fr
213800LTFHWJCKUQAZ15,EUROGRIT B.V.,eurogrit.com,nl
213800XQVX2ZVS7Y8L12,MB CBA 59 A S.R.L.,mbusa.com,it
213800V5E4ON7X7XI991,VALECENTER S.R.L.,valecenter.it,it
2138006D9IV5CAR87J41,SIBELCO TOMASZÓW PLANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,krynicki.pl,pl
2138006E19GV8YUBDV07,DANISH CROWN FLEISCH GMBH,danishdesignstore.com,de
213800RM5JAG88APRK68,EUROIND TWO C.V.,euroindiemusic.info,nl
2138007MR42NH6WG4E75,CBI ORIENT,cbinsights.com,fr
213800P5571Q8FS66707,PETER EING SILOTRANSPORTE GMBH,petermillar.com,de
213800D83OB6BFS34466,LOHOFF TRANSPORTSERVICE GMBH,lohoff.com,de
213800MQIHCBZZZBIJ36,ORFEO FINANCE,radioorfeo.com,fr
213800WKW8SH7QDR4F48,HITACHI AIR CONDITIONING EUROPE SAS,hitachi.co.jp,fr
213800A53LV1IXBNPD12,FIXED INCOME CAYMAN UNIT TRUST – MY - HS EU CREDIT FUND,fixedopsdigital.com,fr
213800U4ZO74K9GDRA95,TRUSTEES OF ANDREW BARR-SIM DECEASED WILL TRUST,2020trustees.co.uk,fr
213800N5ZH7XGFUM5L76,MISS A L DARWIN TRUST,missyusa.com,es
2138007GVYRCKPLIRM66,IENERGIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,3ienergia.org,pl
529900B9B80ISLBPWS70,AMUNDI ORIZZONTE 2020 ITALIA,mundial.co.ao,it
213800262YQANWZJDE44,HOLLBEACH SOLUTIONS FRANCE SAS,hollbeach.com,fr
21380063YGNZTNPAK974,TECKNOW BEHEER B.V.,tecknowledge.in,nl
213800K7T9HWF9MZGL74,KALZIP GMBH,kalzip.com,de
213800X2XW6S4C5BLN91,BRITAX CHILDCARE GERMAN HOLDINGS GMBH,britax.com,de
213800KLBNZRHGFYF278,EURL LANDES DEBARDAGE,ads-algerie.com,fr
529900OZGDWE7ZR9Q967,PFW AEROSPACE GMBH,pfw.edu,de
213800G8VNOJK5MS9L04,MECAELEC,meca.com,fr
2138003YG5E6HYCCQZ50,VOLT FINANCE,220-volt.ru,fr
213800QUE819I6E8KX45,PEGLER-YORKSHIRE SAS,pegleryorkshire.fr,fr
213800PEZ4UJD3X7S292,KEY-SYSTEMS DATACENTER GMBH,keysystems.ru,de
213800KYKCZ7AQVFNK42,KOSTER LE DUC,kosterina.com,fr
2138006J4U34KUDQ7J89,FCT AXA IM MIDDLE MARKET EUROPEAN LOANS - AXA IM MIDDLE MARKET EUROPEAN LOANS 1,fctables.com,fr
213800ANZ1K46CLAA190,ROTORK GEARS B.V.,rotork.com,nl
213800I4F5X9EB1POY51,BARROS ECO,barrospizza.com,fr
213800RMYGHGYYJIBI58,LDM TRADING B.V.,ldminstitute.com,nl
