CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
73044985,1.86,0.93,3.72,0.35,0.175,0.7
73044989,1.86,0.93,3.72,0.35,0.175,0.7
73045110,1.86,0.93,3.72,0.35,0.175,0.7
73045181,1.86,0.93,3.72,0.35,0.175,0.7
73045189,1.86,0.93,3.72,0.35,0.175,0.7
73045930,1.86,0.93,3.72,0.35,0.175,0.7
73045982,1.86,0.93,3.72,0.35,0.175,0.7
73045983,1.86,0.93,3.72,0.35,0.175,0.7
73045989,1.86,0.93,3.72,0.35,0.175,0.7
73049000,1.93,0.965,3.86,0.29,0.145,0.58
73051100,2.03,1.015,4.06,0.36,0.18,0.72
73051200,2.03,1.015,4.06,0.36,0.18,0.72
73051900,2.03,1.015,4.06,0.36,0.18,0.72
73052000,2.03,1.015,4.06,0.36,0.18,0.72
73053100,2.03,1.015,4.06,0.36,0.18,0.72
73053900,2.03,1.015,4.06,0.36,0.18,0.72
73059000,2.03,1.015,4.06,0.36,0.18,0.72
73061100,1.98,0.99,3.96,0.46,0.23,0.92
73061900,2.03,1.015,4.06,0.36,0.18,0.72
73062100,1.98,0.99,3.96,0.46,0.23,0.92
73062900,2.03,1.015,4.06,0.36,0.18,0.72
73063012,2.03,1.015,4.06,0.36,0.18,0.72
73063018,2.01,1.005,4.02,0.27,0.135,0.54
73063041,1.97,0.985,3.94,0.39,0.195,0.78
73063049,1.97,0.985,3.94,0.39,0.195,0.78
73063072,1.97,0.985,3.94,0.39,0.195,0.78
73063077,1.97,0.985,3.94,0.39,0.195,0.78
73063080,1.97,0.985,3.94,0.39,0.195,0.78
73064020,1.98,0.99,3.96,0.46,0.23,0.92
73064080,1.95,0.975,3.9,0.33,0.165,0.66
73065021,1.97,0.985,3.94,0.41,0.205,0.82
73065029,1.95,0.975,3.9,0.33,0.165,0.66
73065080,1.97,0.985,3.94,0.41,0.205,0.82
73066110,1.98,0.99,3.96,0.46,0.23,0.92
73066192,1.97,0.985,3.94,0.39,0.195,0.78
73066199,1.97,0.985,3.94,0.39,0.195,0.78
73066910,1.98,0.99,3.96,0.46,0.23,0.92
73066990,1.97,0.985,3.94,0.39,0.195,0.78
73069000,1.97,0.985,3.94,0.39,0.195,0.78
73071110,2.54,1.27,5.08,0.57,0.285,1.14
73071190,2.54,1.27,5.08,0.57,0.285,1.14
73071910,2.54,1.27,5.08,0.57,0.285,1.14
73071990,0.61,0.305,1.22,1.05,0.525,2.1
73072100,1.87,0.935,3.74,0.43,0.215,0.86
73072210,1.87,0.935,3.74,0.43,0.215,0.86
73072290,1.87,0.935,3.74,0.43,0.215,0.86
73072310,1.87,0.935,3.74,0.43,0.215,0.86
73072390,1.87,0.935,3.74,0.43,0.215,0.86
73072910,1.87,0.935,3.74,0.43,0.215,0.86
73072980,1.87,0.935,3.74,0.43,0.215,0.86
73079100,1.93,0.965,3.86,0.29,0.145,0.58
73079210,1.93,0.965,3.86,0.29,0.145,0.58
73079290,1.93,0.965,3.86,0.29,0.145,0.58
73079311,1.93,0.965,3.86,0.29,0.145,0.58
73079319,1.93,0.965,3.86,0.29,0.145,0.58
73079391,1.93,0.965,3.86,0.29,0.145,0.58
73079399,1.93,0.965,3.86,0.29,0.145,0.58
73079910,1.93,0.965,3.86,0.29,0.145,0.58
73079980,1.93,0.965,3.86,0.29,0.145,0.58
73081000,2.46,1.23,4.92,2.55,1.275,5.1
73082000,2.46,1.23,4.92,2.55,1.275,5.1
73083000,2.46,1.23,4.92,2.55,1.275,5.1
73084000,2.46,1.23,4.92,2.55,1.275,5.1
73089051,2.46,1.23,4.92,2.55,1.275,5.1
73089059,2.46,1.23,4.92,2.55,1.275,5.1
73089098,2.46,1.23,4.92,2.55,1.275,5.1
73090010,1.97,0.985,3.94,0.39,0.195,0.78
73090030,1.97,0.985,3.94,0.39,0.195,0.78
73090051,1.97,0.985,3.94,0.39,0.195,0.78
73090059,1.97,0.985,3.94,0.39,0.195,0.78
73090090,1.97,0.985,3.94,0.39,0.195,0.78
73101000,1.97,0.985,3.94,0.39,0.195,0.78
73102111,1.97,0.985,3.94,0.39,0.195,0.78
73102119,1.97,0.985,3.94,0.39,0.195,0.78
73102191,1.97,0.985,3.94,0.39,0.195,0.78
73102199,1.97,0.985,3.94,0.39,0.195,0.78
73102910,1.97,0.985,3.94,0.39,0.195,0.78
73102990,1.97,0.985,3.94,0.39,0.195,0.78
73110011,1.89,0.945,3.78,0.32,0.16,0.64
73110013,1.89,0.945,3.78,0.32,0.16,0.64
73110019,1.89,0.945,3.78,0.32,0.16,0.64
73110030,1.89,0.945,3.78,0.32,0.16,0.64
73110091,1.89,0.945,3.78,0.32,0.16,0.64
73110099,1.89,0.945,3.78,0.32,0.16,0.64
73181100,1.89,0.945,3.78,0.32,0.16,0.64
73181210,2.1,1.05,4.2,1.99,0.995,3.98
73181290,1.89,0.945,3.78,0.32,0.16,0.64
73181300,1.89,0.945,3.78,0.32,0.16,0.64
73181410,2.1,1.05,4.2,1.99,0.995,3.98
73181491,1.89,0.945,3.78,0.32,0.16,0.64
73181499,1.89,0.945,3.78,0.32,0.16,0.64
73181520,1.89,0.945,3.78,0.32,0.16,0.64
73181535,1.89,0.945,3.78,0.32,0.16,0.64
73181542,1.89,0.945,3.78,0.32,0.16,0.64
73181548,1.89,0.945,3.78,0.32,0.16,0.64
73181552,1.89,0.945,3.78,0.32,0.16,0.64
73181558,1.89,0.945,3.78,0.32,0.16,0.64
73181562,1.89,0.945,3.78,0.32,0.16,0.64
73181568,1.89,0.945,3.78,0.32,0.16,0.64
73181575,1.89,0.945,3.78,0.32,0.16,0.64
73181582,1.89,0.945,3.78,0.32,0.16,0.64
73181588,1.89,0.945,3.78,0.32,0.16,0.64
